setup,regime,config,sample_flag,n_signals,n_trades,wr,wr_ci_low,wr_ci_high,expectancy,exp_ci_low,exp_ci_high,median_pnl,p25,p75,std,sharpe,pf,max_dd,p_value,fdr_significant,bonferroni_significant,train_expectancy,test_expectancy,oos_pass,oos_reason
us_momentum,TREND,drop_F4,PRIMARY,882,882,0.40249433106575966,0.37062046053073994,0.4352138698820851,-0.9734236383214394,-5.49925279117187,3.7021325955016304,-10.889999999999418,-43.5,34.45249999999987,71.01933261872776,-0.2175833063205444,0.9613857878431125,-4797.857708372878,0.6579690019192767,False,False,3.592825062517836,-8.611512374270774,False,test expectancy -8.6115 ≤ 0 (negative OOS)
us_momentum,TREND,all_off,PRIMARY,8652,8652,0.4463707813222376,0.4359220439051615,0.45686711998897084,2.722416822898967,1.2867907857119656,4.140510315667912,-8.0,-43.5,31.989000000001397,67.53049394482952,0.6399631447387681,1.1210425738989236,-14735.40696167898,8.905015829471707e-05,True,True,2.571911956887628,3.033673694735184,True,OOS ratio 117.95% ≥ 70%
us_momentum,CALM,baseline_F1234,PRIMARY,232,232,0.5646551724137931,0.5003162154447149,0.6268878823844477,6.497555408245121,0.5867986917061101,12.970584751083981,12.452499999999418,-43.5,46.01875000000018,47.29993734562007,2.180668732958211,1.3712521534569209,-897.6256027183263,0.018749769291838764,False,False,7.40425775097878,4.636429546844451,False,OOS ratio 62.62% < 70%
us_momentum,CALM,drop_F1,PRIMARY,1066,1066,0.49343339587242024,0.46349840573235584,0.5234155431667338,7.128189019806723,3.8924499429478825,10.346861207329535,-0.9109999999991487,-43.5,43.68499999999767,52.37526710522727,2.1604948083735054,1.398954748110579,-2071.982346507133,4.886476797296683e-06,True,True,12.106488811178416,-1.3969910300486177,False,test expectancy -1.3970 ≤ 0 (negative OOS)
us_momentum,CALM,drop_F2,PRIMARY,232,232,0.5646551724137931,0.5003162154447149,0.6268878823844477,6.497555408245121,0.5867986917061101,12.970584751083981,12.452499999999418,-43.5,46.01875000000018,47.29993734562007,2.180668732958211,1.3712521534569209,-897.6256027183263,0.018749769291838764,False,False,7.40425775097878,4.636429546844451,False,OOS ratio 62.62% < 70%
us_momentum,CALM,drop_F3,PRIMARY,232,232,0.5646551724137931,0.5003162154447149,0.6268878823844477,6.497555408245121,0.5867986917061101,12.970584751083981,12.452499999999418,-43.5,46.01875000000018,47.29993734562007,2.180668732958211,1.3712521534569209,-897.6256027183263,0.018749769291838764,False,False,7.40425775097878,4.636429546844451,False,OOS ratio 62.62% < 70%
us_momentum,CALM,drop_F4,PRIMARY,355,355,0.49295774647887325,0.44130531580157584,0.5447609541984623,2.359233489293634,-2.4396830997425503,7.7085810936244155,-2.2000000000007276,-43.5,38.852499999999964,49.035192210855726,0.7637712609219759,1.1194285665771777,-1154.6404182217302,0.1826387460080633,False,False,2.5746839334040503,1.9528554158495968,True,OOS ratio 75.85% ≥ 70%
us_momentum,CALM,all_off,PRIMARY,1324,1324,0.48413897280966767,0.45730499949806597,0.5110647183466368,6.12315388658564,3.2185031624668583,8.889803208440373,-2.0824999999986176,-43.5,42.311125000000175,52.56814403742028,1.84906764961138,1.330264889983106,-2972.5815941736346,1.2039273161328256e-05,True,True,10.28483101408736,-1.2184268498213613,False,test expectancy -1.2184 ≤ 0 (negative OOS)
us_momentum,CRASH,baseline_F1234,REJECT,13,13,0.5384615384615384,0.29143795714506004,0.7679393219046169,9.469801187427667,-59.97671321580381,73.7179181066086,121.38999999999942,-96.29999999999927,121.38999999999942,131.31231910583108,1.1448159202929733,1.1694241523066946,-688.3075845634376,0.3996279651509359,False,False,9.469801187427667,0.0,False,test expectancy 0.0000 ≤ 0 (negative OOS)
us_momentum,CRASH,drop_F1,PRIMARY,182,182,0.5274725274725275,0.4551245904570711,0.5986847159455886,44.81747783955522,21.838307798416373,70.33771794443886,8.467000000000553,-52.70710446444036,121.38999999999942,160.10486452080474,4.443683873348014,2.158599834668521,-4459.908291136155,0.00010781999850496008,True,True,25.26812069978038,321.7667039863654,True,OOS ratio 1273.41% ≥ 70%
us_momentum,CRASH,drop_F2,PRIMARY,147,147,0.2789115646258503,0.2127534510745994,0.3563305361250618,-13.820199194434682,-36.71543595688516,9.829640194440206,-60.53044354960548,-87.34984026763232,7.997250000000349,143.08079258110263,-1.5333215372198874,0.7790776328078475,-4253.301318605045,0.8782655511684063,False,False,5.786190041283892,-74.27323267123363,False,test expectancy -74.2732 ≤ 0 (negative OOS)
us_momentum,CRASH,drop_F3,REJECT,13,13,0.5384615384615384,0.29143795714506004,0.7679393219046169,9.469801187427667,-59.97671321580381,73.7179181066086,121.38999999999942,-96.29999999999927,121.38999999999942,131.31231910583108,1.1448159202929733,1.1694241523066946,-688.3075845634376,0.3996279651509359,False,False,9.469801187427667,0.0,False,test expectancy 0.0000 ≤ 0 (negative OOS)
